Timestamp,Section Code,Item Code,MAKE (MANUFACTURED BY),Description,Quantity,Unit,Section Alloted,Picture of the Material,LOCATION/STOCK,Part Code
,,,,"Asbestos Rope 1.5""",1,PKT,Boiler,,5C,
,,,,"Asbestos Rope 1.2""",2,PKT,Boiler,,5C,
,,,,"Asbestos Flate 2"" * 3mm",1,PKT,Boiler,,5C,
,,,,"NRV Dia 4""",1,PC,Parboiling Section,,5D,
,,,,"NRV Dia 2""",1,PC,Parboiling Section,,5D,
,,,,"Chain Coupling Set Pitch 3/4"" Teeth 15",1,PC,Parboiling Section,,5D,
,,,,"M.S. Simplex sprocket Pitch 3/4"" Teeth 20",5,PC,Parboiling Section,,5D,
,,,,"M.S. Simplex sprocket Pitch 3/4"" Teeth 40",1,PC,Parboiling Section,,5D,
,,,,"M.S. Simplex sprocket Pitch 3/4"" Teeth 15",1,PC,Parboiling Section,,5D,
,,,,"M.S. Simplex sprocket Pitch 3/4"" Teeth 16",2,PC,Parboiling Section,,5D,
,,,,"M.S. Simplex sprocket Pitch 3/4"" Teeth 18",8,PC,Parboiling Section,,5D,
,,,,"Pully 14"" Section - B, Groove - 2",2,PC,Milling Section,,5D,
,,,,"Pully 4"" Section - B, Groove - 2",2,PC,Parboiling Section,,5D,
,,,,"Pully 5"" Section - B, Groove - 2",1,PC,Milling Section,,5D,
,,,,"Pully 3"" Section - B, Groove - 2",1,PC,Milling Section,,5D,
,,,,"Pully 7"" Section - B, Groove - 1",1,PC,Milling Section,,5D,
,,,,"Pully 5"" Section - B, Groove - 1 (WITH TAPER BUSH)",1,PC,Milling Section,,5D,
,,,,"Pully 5"" Section - B, Groove - 2 (WITH TAPER BUSH)",1,PC,Milling Section,,5D,
,,,,Cupling Star L - 100 (Complete),1,PC,Milling Section,,5D,
,,,,"Pin Bush Cupling 6""",3,PC,Parboiling Section,,5D,
,,,,Chain Full Lock Duplex 15mm,26,PC,Common Product,,5C,
,,,,"Chain Lock Full Simplex 3/4""",9,PC,Parboiling Section,,5C,
,,,,"Chain Lock Full Simplex 1""",1,PC,Parboiling Section,,5C,
,,,,Chain Lock Full Simplex 15 mm,19,PC,Parboiling Section,,5C,
,,,,"Polyrib Tyre 4""",4,PC,Common Product,,5C,
,,,,"Anchor Bolt With Nut 4"" * 10mm",35,PC,Construction (Civil),,5C,
,,,,Cable Gland 15mm,10,PC,Electrical,,5C,
,,,,"Rubber seal 3""",8,PC,Common Product,,5C,
,,,,"Rubber Seal 4""",4,PC,Common Product,,5C,
,,,,"Rubber Seal 3.5""",5,PC,Common Product,,5C,
,,,,Cable Gland 30mm,1,PC,Electrical,,5C,
,,,,"M.S. Pipe Clamp 3""",3,PC,Common Product,,5C,
,,,,"S.S. Nipple 1.5""",10,PC,Common Product,,5C,
,,,,"S.S. Clamp 1""",1,PC,Common Product,,5C,
,,,,Return Roller Stand,3,PC,Common Product,,5C,
,,,,"G.I. Plug 3""",1,PC,Common Product,,6D,
,,,,"S.S. Nipple Dia 2""",1,PC,Common Product,,5C,
,,,PEMNANT,"Trap Valve 1/2"" (PD-61)",2,PC,Parboiling Section,,6D,
,,,,DPRP Sikly Sieve No.90,50,PC,Milling Section,,2C,
,,,,"S.S. Reducer Dia 8"" * 11""",1,PC,Parboiling Section,,5E,
,,,,"S.S. Socket Dia 5""",1,PC,Parboiling Section,,5E,
,,,,Chain Duplex 15mm,1,PKT.,Parboiling Section,,5E,
,,,,M.S.Shafts Length 525mm Dia 45mm (Ready),2,PC,Milling Section,,5E,
,,,,"M.S. Reducer 3"" * 4""",1,PC,Parboiling Section,,5E,
,,,,M.S. Buyer Sling Rope Dia 15mm,47,KG,Common Product,,5E,
,,,,Blue Hose Pipe for Gas Cutter,10,MTR.,Common Product,,5E,
,,,,"S.S. Spring Dia 1.25"" * 4""",1,PC,Milling Section,,5E,
,,,,M.S. Threaded Rod 25mm * 240mm,1,PC,Common Product,,5E,
,,,,"G.I. Band (Threaded) Dia 3""",1,PC,Common Product,,5E,
,,,W-J,Globe Valve Dia 60mm (PN - 16),1,PC,Parboiling Section,,5E,
,,,,"Rope Pully Double 6""",3,PC,Common Product,,5C,
,,,,"Wire Rope Pully 20mm * 8""",1,PC,Common Product,,5C,
,,,,"Single Rope Pully 25mm * 6""",1,PC,Common Product,,5C,
,,,Aristo,"Fence Gate Lock 4"" Complete",16,PC,Common Product,,5C,
,,,,"Fence Gate Latch 10""",1,PC,Common Product,,5C,
,,,,"S.S. Dead Box 5"" * 5""",3,PC,Milling Section,,4E,
,,,,"S.S. Dead Box 6"" * 6""",2,PC,Milling Section,,4E,
,,,,Pick Axe,2,PC,Construction (Civil),,4E,
,,,,Hand Saw,1,PC,Construction (Civil),,4E,
,,,,Chair Stand,1,PC,Common Product,,4E,
,,,FLEET GUARD,Lube Filter L.F. - 3325,2,PC,Gen Sets,,3C,
,,,FLEET GUARD,Lube Filter L.F. - 9009,3,PC,Gen Sets,,3C,
,,,FLEET GUARD,Fuel / Water Separator Filter F.S. - 1000,2,PC,Gen Sets,,3C,
,,,FLEET GUARD,Fuel / Water Separator Ffilterf F.S. - 19732,2,PC,Gen Sets,,3C,
,,,FLEET GUARD,Fuel / Water Separator Ffilterf F.F. - 5580,2,PC,Gen Sets,,3C,
,,,FLEET GUARD,Cummins Air Filter,1,PC,Gen Sets,,3C,4020551
,,,FLEET GUARD,Cummins Air Filter (2),1,PC,Gen Sets,,3C,4020552
,,,FLEET GUARD,Cummins Air Filter (3),1,PC,Gen Sets,,3C,2591126020
,,,FLEET GUARD,Filter AF 25910,1,PC,Gen Sets,,3C,1.40432E+15
,,,,D-FUSE 33 KW,3,PC,Electrical,,3C,
,,,,V-Belt B-92,12,PC,Milling Section,,3D,
,,,,V-Belt B-115,8,PC,Parboiling Section,,3D,
,,,,V-Belt B-84,5,PC,Milling Section,,3D,
,,,,V-Belt B-155,5,PC,Milling Section,,3D,
,,,,V-Belt B-72,2,PC,Parboiling Section,,3D,
,,,,V-Belt B-68,2,PC,Milling Section,,3D,
,,,,V-Belt B -80,1,PC,Milling Section,,3D,
,,,,S.S. Round Rod Dia 32mm * 260mm,5,PC,Parboiling Section,,4E,
,,,BUHLER,"Rice Mill Roller (Alumunium)-10"" * 10""",17,PC,Milling Section,,2D,DRHB-50040-010
,,,BUHLER,Grinding Wheel For Whitener,4,BOX,Milling Section,,2C,BSPB-10355-001
,,,ESTEK,Digital Load Cell,2,PC,Construction (Civil),,2C,AS-LS-30
,,,,"S.P. Rubber PVC Flexible Dust Horse Pipe 2""",1,MTR.,Milling Section,,3B,
,,,,"S.P. Rubber PVC Flexible Dust Horse Pipe 4""",2,MTR.,Milling Section,,3B,
,,,BHULLER,Aspiration Hose Pipe Dia 510mm,2,PC,Milling Section,,3B,MTSC-83044-810
,,,BHULLER,Inlet Sleebe D-210,3,PC,Milling Section,,3B,MTSC-83006-810
,,,,Rubber Balls Dia 25mm,267,PC,Milling Section,,3C,
,,,BHULER,Outlet Made For PVR,12,PC,Milling Section,,3B,MTLB-84014-810
,,,,Nylone Belt 75mm * 4200mm,1,PC,Milling Section,,3B,
,,,,"Suction and Discharge Hose Guide Dia 2""",11,PC,Milling Section,,3B,
,,,,Star for Cupling SG-55,3,PC,Parboiling Section,,3B,
,,,,"M.S. Flat 1.5"" * 620mm",10,PC,Common Product,,3C,
,,,,"M.S. Flange Dia 5.5""",1,PC,Common Product,,3B,
,,,,Flange Cupling Dia 170mm,1,PC,Milling Section,,5C,
,,,BHULLER,Rubber Balls Dia 32mm,250,PC,Milling Section,,3D,182CBA001
,,,,"Bright Pannel Pin 17 Gauge * 3/4""",5.8,KG,Milling Section,,3C,
,,,,"M.S. U-Type Spot 4""",2,PC,Common Product,,5C,
,,,OANDO,Mobil Oil 15W/40 CF-4,212.05,KG,Gen Sets,,3E,AP1 CF4/SL
,,,,"M.S. Nail 2""",17,KG,Construction (Civil),,3E,
